# local, NFS, Adam, Fuse
1	1537.393925	321.8708717	316.7806023	231.6940109
2	2574.570288	344.5995697	593.291984	212.1412469
3	3446.675707	416.124654	878.3978279	367.4231489
4	4888.809504	494.1073433	1096.827988	387.3434312
5	6045.342325	805.0395516	1530.464691	696.8012476
6	12383.44378	1772.452822	1637.719651	1281.995024
7	12439.76872	1777.119596	1636.186783	1272.789582
8	12370.59831	1843.835851	1639.937318	1286.484665
9	24825.39178	5657.367896	4651.698441	3583.873018
10	24458.30793	5892.572796	4720.45565	3489.589525
